user,day,action_count,after_hours_actions,has_attachments,risk_z_score
AAE0190,2010-01-04,14,0,2,0.475758987686691
AAE0190,2010-01-05,13,0,2,0.0892048101912543
AAE0190,2010-01-06,14,0,4,0.475758987686691
AAE0190,2010-01-07,14,0,5,0.475758987686691
AAE0190,2010-01-08,13,0,5,0.0892048101912543
AAE0190,2010-01-11,13,0,1,0.0892048101912543
AAE0190,2010-01-12,14,0,2,0.475758987686691
AAE0190,2010-01-13,14,0,2,0.475758987686691
AAE0190,2010-01-14,14,0,4,0.475758987686691
AAE0190,2010-01-15,14,0,2,0.475758987686691
AAE0190,2010-01-18,10,0,1,-1.0704577222950558
AAE0190,2010-01-19,14,0,6,0.475758987686691
AAE0190,2010-01-20,5,0,0,-3.0032286097722394
AAF0535,2010-01-04,3,0,2,0.4096623363989298
AAF0535,2010-01-05,3,0,1,0.4096623363989298
AAF0535,2010-01-06,2,0,0,-2.2531428501941155
AAF0535,2010-01-07,3,0,2,0.4096623363989298
AAF0535,2010-01-08,3,0,1,0.4096623363989298
AAF0535,2010-01-11,3,0,2,0.4096623363989298
AAF0535,2010-01-12,3,0,1,0.4096623363989298
AAF0535,2010-01-13,3,0,1,0.4096623363989298
AAF0535,2010-01-14,3,0,0,0.4096623363989298
AAF0535,2010-01-15,3,0,1,0.4096623363989298
AAF0535,2010-01-18,3,0,1,0.4096623363989298
AAF0535,2010-01-19,2,0,1,-2.2531428501941155
AAF0535,2010-01-20,3,0,3,0.4096623363989298
AAF0791,2010-01-04,9,0,0,0.2886651349412131
AAF0791,2010-01-05,9,0,0,0.2886651349412131
AAF0791,2010-01-06,8,0,0,-3.1753164843533197
AAF0791,2010-01-07,9,0,0,0.2886651349412131
AAF0791,2010-01-08,9,0,0,0.2886651349412131
AAF0791,2010-01-11,9,0,0,0.2886651349412131
AAF0791,2010-01-12,9,0,0,0.2886651349412131
AAF0791,2010-01-13,9,0,0,0.2886651349412131
AAF0791,2010-01-14,9,0,0,0.2886651349412131
AAF0791,2010-01-15,9,0,0,0.2886651349412131
AAF0791,2010-01-18,9,0,0,0.2886651349412131
AAF0791,2010-01-19,9,0,0,0.2886651349412131
AAL0706,2010-01-04,1,0,0,0.0
AAL0706,2010-01-05,1,0,0,0.0
AAL0706,2010-01-06,1,0,0,0.0
AAL0706,2010-01-07,1,1,0,0.0
AAL0706,2010-01-08,1,0,0,0.0
AAL0706,2010-01-11,1,0,1,0.0
AAL0706,2010-01-12,1,0,0,0.0
AAL0706,2010-01-13,1,0,0,0.0
AAL0706,2010-01-14,1,0,0,0.0
AAL0706,2010-01-15,1,0,0,0.0
AAL0706,2010-01-18,1,0,1,0.0
AAL0706,2010-01-19,1,0,0,0.0
AAM0658,2010-01-04,3,2,1,0.3851580147956872
AAM0658,2010-01-05,3,0,1,0.3851580147956872
AAM0658,2010-01-06,3,0,2,0.3851580147956872
AAM0658,2010-01-07,3,2,2,0.3851580147956872
AAM0658,2010-01-08,3,0,1,0.3851580147956872
AAM0658,2010-01-11,3,0,2,0.3851580147956872
AAM0658,2010-01-12,3,0,1,0.3851580147956872
AAM0658,2010-01-13,3,0,0,0.3851580147956872
AAM0658,2010-01-14,3,0,1,0.3851580147956872
AAM0658,2010-01-15,3,3,1,0.3851580147956872
AAM0658,2010-01-18,2,1,1,-1.283860049318957
AAM0658,2010-01-19,3,2,2,0.3851580147956872
AAM0658,2010-01-20,1,0,0,-2.952878113433601
AAN0823,2010-01-04,1,0,0,0.0
AAN0823,2010-01-05,1,0,0,0.0
AAN0823,2010-01-06,1,0,1,0.0
AAN0823,2010-01-08,1,0,0,0.0
